pergunta / resposta; Indice / gabarito
Pergunta optativa: abcd;11
(a) aaa;v
(b) bbb;f
(c) ccc;v
(d) ddd;v
(e) eee;f
Pergunta optativa: Qual dos numeros abaixo é maior do que 6?;2
(a) 5;não
(b) 7;sim
(c) 1;não
(d) 0;não
(e) -10;não
Pergunta discursiva: Esta pergunta tem resposta?;3
Resposta: sim;Resposta Correta
Pergunta discursiva: a resposta da pergunta anterior é não?;4
Resposta: não;Resposta Correta
Pergunta optativa: Sorvete?;6
(a) creme;sim
(b) baunilha;sim
(c) cebola;não
(d) chocolate;sim
(e) martelo;não
